,KNE_x,KNE_y,ANK_x,ANK_y,D3M_x,D3M_y,D1M_x,D1M_y,HLX_x,HLX_y,KNE_ANK_length,KNE_ANK_orientation,ANK_D3M_length,ANK_D3M_orientation,ANK_D1M_length,ANK_D1M_orientation,D1M_HLX_length,D1M_HLX_orientation
150,155.44613647460938,117.19174194335938,161.41970825195312,502.7974243164063,195.18893432617188,576.0860595703125,155.38070678710938,575.5012817382812,174.60885620117188,586.5505981445312,385.6519490916157,89.11247916694104,80.69439067885577,65.26115368297582,72.9542351252668,94.74825995638302,22.1767698940792,29.88351596828207
151,155.44613647460938,117.19174194335938,161.49246215820312,502.7974243164063,195.18893432617188,576.0860595703125,155.44528198242188,575.5012817382812,174.60885620117188,586.5505981445312,385.65308287715686,89.1016715476416,80.66397147392883,65.30808823580243,72.95491259743027,94.75466113426602,22.12080400625088,29.966850447541816
152,155.68594360351562,117.19174194335938,161.90518188476562,502.7974243164063,195.18893432617188,576.0860595703125,155.38070678710938,575.5012817382812,174.60885620117188,586.5505981445312,385.6558325802711,89.07598557616394,80.49243588040386,65.57500840660794,72.99602495561156,95.12801119024272,22.1767698940792,29.88351596828207
153,155.68594360351562,118.4492416381836,162.35635375976562,506.3902282714844,193.71389770507812,592.4358520507812,155.38070678710938,594.173095703125,171.24163818359375,609.4923706054688,387.9983292253608,89.01493086496333,91.58135691204026,69.97677917741173,88.05959042153286,94.5434496024216,22.051061840590872,44.00476894044371
154,155.68594360351562,122.47337341308594,162.35635375976562,516.3419799804688,190.60348510742188,621.1937866210938,152.0130615234375,623.8510131835938,165.592041015625,648.5684204101562,393.9250862930468,89.02975304321717,108.59006301303428,74.92244350903142,108.0054439116692,95.4954322608562,28.201753563439503,61.21696684340429
155,155.54428100585938,125.84136962890624,162.35635375976562,524.1609497070312,188.0376586914063,629.3983154296875,147.7001953125,633.5714721679688,159.0366821289063,669.126220703125,398.3778259502132,89.02022146821469,108.3255859307302,76.2860223847889,110.38779554645824,97.62967422110856,37.31830752776374,72.31532978026956
156,155.35617065429688,125.937255859375,162.227783203125,524.5880126953125,186.73745727539065,629.5026245117188,146.75021362304688,634.1345825195312,158.44927978515625,669.7888793945312,398.7099760288009,89.01248046266204,107.73950016459098,76.8506492546691,110.63456114776518,98.04195222687206,37.52461904824681,71.83404347077447
157,155.22113037109375,125.98250579833984,162.05963134765625,524.5880126953125,186.7092895507813,629.826171875,146.6002807617188,634.3011474609375,158.44927978515625,670.2218627929688,398.66416345615886,89.017126449813,108.08642744146988,76.81740718498443,110.79694698248286,98.02057330334716,37.82454980329901,71.7440680190546
158,155.22113037109375,125.937255859375,162.02035522460938,524.5880126953125,186.3990478515625,629.826171875,146.33154296875,634.3011474609375,158.75875854492188,670.262939453125,398.7087350240454,89.02288127175271,108.02495453240748,76.95733858309876,110.8291963793828,98.13803864139076,38.04847132627025,70.93652949360401
159,155.1697387695313,125.98250579833984,161.56451416015625,524.9690551757812,186.3990478515625,629.8916015625,146.33154296875,634.3239135742188,159.0366821289063,670.4349365234375,399.03779236610416,89.08176786189031,107.82158783816318,76.6835059013739,110.41072623011104,97.93018802524466,38.280890004255895,70.61631893170119
160,155.01693725585938,125.98250579833984,161.56451416015625,524.9690551757812,186.09097290039065,630.0087890625,146.29833984375,634.95703125,159.3141479492188,671.0657348632812,399.0402703330018,89.05983083339706,107.8651606095736,76.85708686374475,111.0423836161752,97.90208595027342,38.3829354957405,70.17770386217965
161,155.01693725585938,125.69452667236328,162.02035522460938,524.401123046875,185.80685424804688,629.8916015625,145.83987426757812,634.95703125,159.3141479492188,672.851318359375,398.7681003488028,88.99368349058471,108.138978140389,77.29318093251189,111.73368696422156,98.32644568683948,40.21856594628279,70.42586829056576
162,155.01693725585938,123.79483032226562,162.19845581054688,523.5,185.80685424804688,629.8916015625,145.67434692382812,634.95703125,159.3141479492188,673.25732421875,399.7696797855707,88.97067521957096,108.97949054669648,77.48873428654535,112.67526786994392,98.43298310597427,40.65656913100671,70.39776940201158
163,155.96829223632812,117.85145568847656,163.2854614257813,519.1309814453125,185.80685424804688,628.6009521484375,145.67434692382812,633.44970703125,159.3141479492188,674.0413208007812,401.3462330165542,88.95535050070492,111.76263964490926,78.37467230579635,115.66729171893748,98.75772552095802,42.8219952877846,71.42635932784863
164,156.68380737304688,110.31548309326172,167.5289916992188,514.4480590820312,185.842041015625,624.420166015625,145.2814331054688,629.9586791992188,158.7237548828125,674.4779052734375,404.2780689060281,88.46279605479549,111.4864658991346,80.5456037825453,117.63357183746288,100.90177883613327,46.50438156790227,73.19861416570882
165,156.68380737304688,103.59195709228516,170.255615234375,504.9710998535156,187.70999145507812,621.0656127929688,145.2814331054688,625.601318359375,158.5252075195313,676.1156616210938,401.6085285602947,88.06339921245298,117.3992810195305,81.4498325099047,123.18830865702785,101.6967503271239,52.22160889797754,75.30893093479062
166,156.68380737304688,98.3780517578125,173.12222290039062,500.3416748046875,187.78042602539065,619.947021484375,145.59521484375,622.2611694335938,158.5252075195313,679.4182739257812,402.2996094430367,87.65817789143271,120.5002152413928,83.01297210559571,124.98839683393918,102.72292462067836,58.60135923787602,77.25318472487058
167,156.088623046875,97.23555755615234,174.6744995117188,499.4939575195313,188.19204711914065,619.6962280273438,145.6868286132813,620.554931640625,159.54498291015625,680.7281494140625,402.6875403399814,87.35459725832149,120.95995175491863,83.58366462561985,124.48310937337745,103.4657633530259,61.748397369693166,77.03067429619547
168,154.18551635742188,96.9490966796875,179.29730224609375,499.0171813964844,191.2413024902344,619.13427734375,147.7347412109375,619.38623046875,159.54498291015625,682.0178833007812,402.851519220608,86.42614538236963,120.70946889385542,84.32138618637417,124.43835113685591,104.69302210672366,63.73543555563148,79.32131653981327
169,152.6773681640625,96.5657958984375,182.59115600585935,498.6955261230469,193.28460693359375,619.13427734375,150.21737670898438,618.2257080078125,159.55972290039062,682.0398559570312,403.2408146921156,85.74569425834042,120.91254148493564,84.92615802390841,123.83669071550614,105.15452432584254,64.49437890890076,81.67110573409327
170,151.656982421875,96.5657958984375,184.6629943847656,497.95452880859375,194.2883911132813,619.3818969726562,150.84371948242188,617.5780639648438,159.5765380859375,682.964599609375,402.74348130406185,85.29917040963484,121.80826737718624,85.46771176568124,124.3122420286871,105.78635228852652,65.96712184380537,82.39277510625955
