,KNE_x,KNE_y,ANK_x,ANK_y,D3M_x,D3M_y,D1M_x,D1M_y,HLX_x,HLX_y,KNE_ANK_length,KNE_ANK_orientation,ANK_D3M_length,ANK_D3M_orientation,ANK_D1M_length,ANK_D1M_orientation,D1M_HLX_length,D1M_HLX_orientation
109,0.5962101513550452,0.31499110011471654,0.7986259623303156,0.1824286438524137,0.3852019410422319,0.9581379849437818,0.3607066381736961,0.9434855253327172,0.394211704799373,0.9572269989152615,0.6049085738412758,0.40393440977128864,0.17889775708085642,0.1384431808263612,0.17416586482002058,0.6511925010304468,0.15623244009474313,0.1452339163685332
110,0.6525910178711825,0.4271179027333986,0.7424361053542868,0.2899691990943495,0.3783845645601667,0.9598312262849604,0.3606319156623173,0.9442313688863639,0.3975962786764778,0.9531888925911477,0.5769948616044506,0.497425235064759,0.1698327278620943,0.13649879999408754,0.16626649894051224,0.6571513234323682,0.1539729426810266,0.1436454443752503
111,0.716436094512159,0.5470535171187441,0.6635787741475819,0.42020606857872445,0.37107998849318363,0.9607049942170495,0.36102910265452587,0.9470039571316727,0.4022491520227702,0.9500198831828918,0.5687571001302943,0.6105140422092097,0.15874079531407884,0.13341938859794203,0.15679340483090984,0.6633075695664551,0.1513989511314162,0.14166333427215286
112,0.7719373224737075,0.6637357135672177,0.5736835547281935,0.5637489316058132,0.3646352309754846,0.9604934244474451,0.3621879621348162,0.950687988407931,0.40889684845410845,0.9477832499827321,0.5832927504431356,0.7192601504172229,0.1463984287466144,0.1295219928148304,0.14640364584854063,0.6707596662991095,0.14902370509274016,0.1393667538090088
113,0.8200693562935846,0.7696773581524717,0.491318342986172,0.6964086493909138,0.35982087372847377,0.9620439796331278,0.36464183675196216,0.9550858693714527,0.41779212908482616,0.9456982010996792,0.5999307325766519,0.8156423744954633,0.13518791447690828,0.12561206456846355,0.13689544386589772,0.6780048147595142,0.1465037505939266,0.13667456183509133
114,0.8622448913750118,0.8545283949303354,0.42694936799203925,0.8065940648425024,0.356535165129809,0.9613559446809326,0.37006416890381494,0.958510095812164,0.4300770884891527,0.9436979267277211,0.6189422895058189,0.894647399414476,0.12567559481152266,0.12224810654412742,0.1289687284825503,0.6844668193865033,0.14448448203533892,0.13398792201672266
115,0.8961889748189434,0.9140600732206368,0.3928922751483234,0.8830524540781369,0.35456874470272026,0.9587499690570278,0.3766877240604374,0.9606654457274894,0.4402639232103565,0.9423200182410717,0.6312513599519971,0.9474037992059722,0.11885502690328975,0.12012213472955421,0.12350568152208927,0.6902453261007233,0.14309065010994107,0.1324895320366722
116,0.9217947675623694,0.948841972543492,0.386355946817565,0.9266705027443506,0.3513995879084803,0.9592578917732469,0.3789346283792255,0.963667104458241,0.45190490801643995,0.9444467710544251,0.6371228485859006,0.9757968527018136,0.1151639631153176,0.11969268012783596,0.12070645709426157,0.6952400482583087,0.14356139406006582,0.1304523345577642
117,0.9353591070463385,0.9677020611018995,0.3880235255229462,0.9385857288548873,0.348002571150915,0.9559302995812864,0.3897337519756627,0.966358889890272,0.46818511950652825,0.9407855903105401,0.6246613323931853,0.9901713643810585,0.11376089505293571,0.11989394622116428,0.11998834075559545,0.6939812932850633,0.14107976396244884,0.12713558582546688
118,0.9376540714979896,0.9740994642247358,0.3781448287316659,0.9401619531738141,0.3505897070054112,0.949476194981919,0.40992611535761864,0.9576147089224357,0.4873643836967668,0.9245140470822866,0.6176326837296321,1.0,0.11289857953372723,0.11950685379997479,0.11857125523039413,0.6885725533221774,0.1363825608283145,0.124067995687532
119,0.9265475608047583,0.9720963076371564,0.3691368041298359,0.931733400171833,0.37803886873850895,0.9079659723297344,0.43589772969314955,0.9189953672382,0.5098326370831896,0.8822428091949661,0.6092518996187613,0.9964899691626297,0.10942017766398558,0.11325230185136449,0.11449539819032105,0.6933252564002592,0.1287887192153891,0.12027903323945728
120,0.9102142800636237,0.96576649150472,0.36101752072125737,0.9014953835472779,0.4136075094315689,0.8358184432779521,0.4627917916251896,0.8465868128322105,0.525756403986503,0.8087016399993607,0.5785508143087793,0.9915470157060532,0.10401903794180338,0.1059028235096248,0.10835997287208754,0.7015954911742831,0.11901731301275083,0.11652809829242759
121,0.8817320635190021,0.9555836949316017,0.3577497400049666,0.8611557694360268,0.46042639102096217,0.7305787537921302,0.4963142193016602,0.7384945472329223,0.5418915093280894,0.7020529260584941,0.5391532536824019,0.9730693967179187,0.09866621284818171,0.09943529225356565,0.10234721496296947,0.7112710028011154,0.11061134488143248,0.11355934840514936
122,0.8522039640375431,0.9426273246041506,0.3623757856678711,0.7938218214299435,0.517472093572429,0.598266595963312,0.537081802211384,0.6012434004098821,0.5614649228523508,0.5692786147819581,0.46826647841575647,0.9543824332307113,0.09148375508833408,0.0921595340178874,0.0944107174157453,0.7236630485829741,0.10100853983971592,0.1094355737955105
123,0.8238747969786449,0.9280820456627189,0.3734731443513788,0.7054062031048915,0.5817527358524023,0.4506079834972514,0.5839930643858999,0.45033157764245274,0.5886554773995187,0.4268163649217329,0.37206571355558726,0.9376257386109764,0.08354412818198197,0.08531790991901625,0.0859640579820554,0.7367329081734786,0.0929345659099653,0.10475954679044333
124,0.7994098819415627,0.9138662069228719,0.38784918032598703,0.6112506060851834,0.6438075301034806,0.3068536161666624,0.6306334509782472,0.30478588337376095,0.6176378658945644,0.29156415601645813,0.26805353203529725,0.9239454390736501,0.0758648353344715,0.07904746378113676,0.07806275973135081,0.7468976941357995,0.0872281226377001,0.09901277014893471
125,0.7807762060518161,0.9022442480120008,0.4009040162600949,0.524538629043947,0.6935633433077575,0.19041079675643824,0.6706326421454523,0.18675961067189126,0.6504121965637378,0.18242104129854717,0.17039401128926207,0.9154854959160227,0.07033807741454352,0.07487843290978438,0.07240122278886976,0.7517149026567593,0.08462318052273056,0.09186092567598861
126,0.7650380250436101,0.8954146485631569,0.41134732666137097,0.46011763059308397,0.7297716253547064,0.10849905640976427,0.7115903430473305,0.10707993611975042,0.686081263225245,0.10429949236125957,0.09479316528607414,0.9072581761842936,0.06639355124457505,0.0723580970860029,0.06864590896368275,0.7487596836216225,0.08184214767978093,0.08380243746682378
