,LKNE_x,LKNE_y,LANK_x,LANK_y,LD3M_x,LD3M_y,LD1M_x,LD1M_y,LHLX_x,LHLX_y
0,68.64067077636719,85.1684799194336,100.9971923828125,291.5765380859375,116.00421142578125,361.47845458984375,94.88023376464844,364.75677490234375,106.17559814453125,391.3994445800781
1,68.64067077636719,85.52606201171875,100.9971923828125,291.83123779296875,116.00421142578125,361.47845458984375,94.88023376464844,364.75677490234375,106.17559814453125,391.4674377441406
2,68.64067077636719,85.52606201171875,100.9971923828125,291.83123779296875,116.00421142578125,361.47845458984375,94.88023376464844,364.75677490234375,106.17559814453125,391.6419067382813
3,67.66096496582031,85.52606201171875,99.8134765625,291.6825561523437,115.13320922851562,361.12548828125,94.28543090820312,364.6975708007813,106.06256103515625,391.6419067382813
4,66.59269714355469,85.52606201171875,99.66342163085938,291.6825561523437,115.1109619140625,361.0685729980469,94.27633666992188,364.6873779296875,106.0301513671875,391.6419067382813
5,65.78407287597656,85.52606201171875,99.5322265625,291.7936096191406,114.93505859375,360.6326904296875,94.27633666992188,364.5928039550781,105.96405029296875,391.577880859375
6,64.9693603515625,85.61474609375,99.5322265625,291.7936096191406,114.93505859375,360.504150390625,94.27633666992188,364.5875244140625,105.90432739257812,391.5146484375
7,64.9693603515625,85.94479370117188,99.5322265625,292.502685546875,114.93505859375,360.4429931640625,94.36601257324219,364.5602416992188,105.76611328125,391.33880615234375
8,64.9693603515625,85.94479370117188,99.99398803710938,292.502685546875,115.07009887695312,360.3201599121094,94.50961303710935,364.46478271484375,105.76611328125,391.3276977539063
9,65.37882995605469,85.9832992553711,100.26065063476562,292.6241455078125,115.11141967773438,360.2821960449219,94.52719116210935,364.3511962890625,105.76611328125,391.3276977539063
10,65.47392272949219,85.9832992553711,100.4105834960937,292.73297119140625,115.208251953125,360.1612548828125,94.61164855957031,364.3304748535156,105.78060913085938,391.3210144042969
11,66.28363037109372,85.9832992553711,100.67340087890625,292.73297119140625,115.2416381835937,360.1612548828125,94.72360229492188,364.3304748535156,105.78060913085938,391.3210144042969
12,66.56159973144531,85.9832992553711,101.21609497070312,293.0123291015625,115.28961181640625,360.1612548828125,94.72393798828125,364.3304748535156,105.79449462890625,391.3327026367188
13,67.03138732910159,86.03456115722656,101.5712890625,293.35107421875,115.52896118164062,360.3048706054688,95.04679870605469,364.6079711914063,105.78060913085938,391.5745239257813
14,67.72080993652344,86.65806579589844,101.8807373046875,294.2242736816406,116.19967651367188,360.7612915039063,95.06573486328125,364.946533203125,105.75473022460938,391.6333923339844
15,68.25465393066409,87.49658203125,102.02731323242188,294.8077392578125,116.42385864257812,360.8195495605469,95.20718383789065,364.946533203125,105.75363159179688,391.7747497558594
16,69.1138916015625,88.3272705078125,102.35797119140625,295.40155029296875,116.85507202148438,360.8195495605469,95.36116027832031,364.946533203125,105.75363159179688,391.7789001464844
17,69.57078552246091,88.3272705078125,102.53961181640625,295.6031494140625,117.03912353515625,360.8195495605469,95.39128112792969,364.8588562011719,105.75363159179688,391.8970031738281
18,70.08746337890625,88.3272705078125,102.5533447265625,295.6031494140625,117.14678955078125,360.72076416015625,95.41200256347656,364.6907043457031,105.81930541992188,392.0251159667969
19,70.4287109375,87.74468231201172,102.72735595703125,295.6031494140625,117.35208129882812,360.7048950195313,95.427001953125,364.6676025390625,105.8206787109375,392.1573181152344
20,70.94862365722656,87.2518539428711,102.81161499023438,295.18804931640625,117.35208129882812,360.6977233886719,95.48312377929688,364.6474304199219,105.82949829101562,392.29052734375
21,72.13706970214844,86.3914794921875,102.83868408203125,295.127685546875,117.47296142578125,360.4786682128906,95.71015930175781,364.6389770507813,105.86856079101562,392.3133544921875
22,74.83273315429688,85.15817260742188,102.83868408203125,295.1068420410156,117.4908447265625,360.4556274414063,95.7430725097656,364.6389770507813,105.99908447265625,392.3133544921875
23,76.9364318847656,83.75691223144531,102.83868408203125,295.1068420410156,117.5247802734375,360.3154296875,95.89321899414065,364.46685791015625,106.07040405273438,392.3133544921875
24,78.76972961425781,82.42803192138672,102.83868408203125,295.0004577636719,117.67434692382812,360.2569885253906,95.93635559082031,364.2505187988281,106.31619262695312,392.29931640625
25,80.19648742675781,81.3685531616211,102.80810546875,294.8907165527344,117.67434692382812,360.2139587402344,95.93635559082031,364.16998291015625,106.31619262695312,392.2355651855469
26,80.36506652832031,81.26156616210938,102.80645751953125,294.8907165527344,117.67434692382812,360.04986572265625,95.89321899414065,364.16998291015625,106.35025024414062,392.2355651855469
27,80.36506652832031,81.26156616210938,102.17837524414062,294.8907165527344,117.37973022460938,360.2139587402344,95.65834045410159,364.16998291015625,106.35025024414062,392.2355651855469
28,80.36506652832031,81.26156616210938,101.384521484375,295.2354736328125,117.0160522460937,360.2139587402344,95.48779296875,364.3556518554688,106.25881958007812,392.36669921875
29,79.91168212890625,82.07998657226562,101.09811401367188,295.2463073730469,116.93002319335938,360.34771728515625,95.36962890625,364.5061950683594,106.25674438476562,392.38519287109375
30,79.02903747558597,83.40574645996094,100.93588256835938,295.2626342773437,116.8397827148437,360.3525695800781,95.091796875,364.63958740234375,106.1835327148437,392.4098205566406
31,78.28065490722656,84.48178100585938,100.63510131835938,295.7621765136719,116.68377685546875,360.5198059082031,95.07080078125,364.74798583984375,105.99588012695312,392.38519287109375
32,77.00871276855469,84.66728210449219,100.51815795898438,295.7918395996094,116.5068359375,360.8914184570313,95.02406311035159,365.0263366699219,105.92657470703125,392.36669921875
