,LKNE_LANK_length,LKNE_LANK_orientation,LANK_LD3M_length,LANK_LD3M_orientation,LANK_LD1M_length,LANK_LD1M_orientation,LD1M_LHLX_length,LD1M_LHLX_orientation
0,209.57236568904167,107.32531984999032,42.41749082498698,23.81911424230705,34.79900801924804,52.63139449963376,18.248931537228003,51.856668518709796
1,209.45648624640728,107.2056420626248,43.26839301018754,27.57805549983277,36.58292596393586,55.59909112375648,19.72460577611029,55.150450780574886
2,212.7129304024906,106.73865965749202,53.24534876185641,44.98901659072652,50.17156478924282,66.54003671331877,22.05728146433653,59.27004522853812
3,219.0570667184216,105.94488304982345,62.723595689252974,67.44416790259507,61.636638036654944,86.9508520689497,21.68026360289752,67.59577692014321
4,222.52911896738644,104.80752501428717,75.90503892570226,83.41812575684,72.86854610411247,101.49068067608886,26.186779710056065,83.42290263387552
5,227.59557818581635,102.62885726293604,76.77910354061012,94.75737035310344,76.85961673766661,111.6309696036941,26.095144890918853,92.40424030696089
6,234.21834940384176,100.6562108782828,78.27511388982268,100.54856839534662,78.60151637672037,117.76456745095228,27.30371936591397,98.95739849844408
7,245.41256534821483,99.98393998801862,80.82877297758165,102.79520307457264,81.24978444504113,117.75022347183427,24.880230295237496,102.84252150286936
8,252.2962146471349,99.38582909208132,84.42004084113853,103.2182964358418,83.60854522834995,117.98623687011168,22.41874011702678,104.2809459425874
9,221.48742968915124,102.01514780789542,88.57852043460962,104.27847390284376,84.79581402461883,119.51674444980172,20.28845047452248,105.81772074634252
10,229.5760591015975,101.17657528492352,88.18738832892176,104.38654675208235,82.27244032477121,119.37887497876692,20.972374171042222,108.19744050347842
11,233.0584834874248,100.24798330026546,91.4297803975988,103.52587326564134,83.95778761457785,117.33986151846068,22.93743628892594,109.6724738930613
12,235.90498138573335,99.26687729951344,91.00758713137262,103.64425500176144,84.57894600673325,116.93925191642556,23.31676009012408,108.7107435032862
13,235.7159319379168,98.9808649614644,90.8077305118808,103.1146825444755,84.51013984397771,116.8473126873377,25.51378293746676,110.25878824355564
14,236.1114387904813,99.56904940499248,90.8077305118808,103.1146825444755,84.51013984397771,116.8473126873377,25.51378293746676,110.25878824355564
15,235.7774691678884,100.0228428188546,91.17233539424733,103.06130619842726,85.13433216340356,116.63487617548974,26.468513128309286,109.49783140027046
16,234.62799107795004,101.7590366182777,89.70337991098616,101.44679129271242,83.90536091932175,115.97446601748352,27.93725861473449,102.14196727083863
17,232.62093371604047,103.41105629778492,84.1936725327067,98.58035500943969,80.66493073526264,112.99137836706768,24.203991038267496,104.05050563969644
18,231.90074902002,105.08126632976366,78.81716904695519,94.6002395288327,72.39971965901171,110.42584042521808,20.90166165290101,99.9310640057124
